OBJECTID,Join_Count,TARGET_FID,Fatalities,PedFatalities,BikeFatalities,MVOFatalities,YR,nodeX,nodeY,STREET1,STREET2
1,1,1,1,1,0,0,2016,915211.8037,125369.6338,MAIN STREET                     ,CRAIG AVENUE                    
2,1,2,1,1,0,0,2016,950434.3271,148754.0582,RICHMOND ROAD                   ,AMBOY ROAD                      
3,3,3,1,0,1,0,2016,980632.9236,200300.1903,WARREN STREET                   ,WEST STREET                     
4,2,4,1,0,0,1,2016,982009.5944,211104.7255,11 AVENUE                       ,WEST 19 STREET                  
5,2,5,1,0,0,1,2016,1004800.966,181823.0229,EAST NEW YORK AVENUE            ,BUFFALO AVENUE                  
6,1,6,1,0,1,0,2016,1004653.332,155733.1876,GERRITSEN AVENUE                ,DEVON AVENUE                    
7,0,7,1,1,0,0,2016,,,,
8,1,8,1,1,0,0,2016,1016553.704,240013.3773,WATSON AVENUE                   ,BRONX RIVER AVENUE              
9,1,9,1,1,0,0,2016,1019940.705,250583.6019,BRONX RIVER PARKWAY EXIT 6 NB   ,BOSTON ROAD                     
10,1,10,1,1,0,0,2016,1030090.96,186283.8309,CENTREVILLE STREET              ,ROSITA ROAD                     
11,1,11,1,0,1,0,2016,1030672.298,243633.1765,EAST TREMONT AVENUE             ,PURITAN AVENUE                  
12,1,12,1,0,0,1,2016,1033968.342,200375.4494,GRAND CENTRAL PARKWAY ET 14 EB  ,UNION TURNPIKE                  
13,0,13,1,0,0,1,2016,,,,
14,1,14,1,1,0,0,2016,1057674.503,181757.7737,SOUTH CONDUIT AVENUE            ,FRANCIS LEWIS BOULEVARD         
15,1,15,1,1,0,0,2016,1030414.467,217696.9823,35 AVENUE                       ,PRINCE STREET                   
16,1,16,1,1,0,0,2016,989925.3889,216584.3336,WEST 52 STREET                  ,AVENUE OF THE AMERICAS          
17,1,17,1,1,0,0,2016,985121.9996,215339.179,WEST 39 STREET                  ,10 AVENUE                       
18,1,18,1,0,0,1,2016,1003967.637,242666.4429,WEST 164 STREET                 ,NELSON AVENUE                   
19,3,19,1,1,0,0,2016,1008957.27,185699.4915,ATLANTIC AVENUE                 ,ROCKAWAY AVENUE                 
20,3,20,1,1,0,0,2016,943363.8724,136416.2748,WIMAN AVENUE                    ,HYLAN BOULEVARD                 
21,1,21,1,1,0,0,2016,1007745.369,245041.1753,EAST 170 STREET                 ,WYTHE PLACE                     
22,1,22,1,1,0,0,2016,1005597.155,234065.5483,WILLIS AVENUE                   ,EAST 138 STREET                 
23,1,23,1,1,0,0,2016,1005140.899,216757.2631,BROADWAY                        ,32 STREET                       
24,1,24,1,1,0,0,2016,1001760.922,216128.8588,21 STREET                       ,36 AVENUE                       
25,1,25,1,1,0,0,2016,1025146.275,244015.7673,STARLING AVENUE                 ,CASTLE HILL AVENUE              
26,1,26,1,0,0,1,2016,981967.9179,202308.2831,LAIGHT STREET                   ,HOLLAND TUNNEL EXIT             
27,2,27,1,1,0,0,2016,1046070.76,181129.8389,144 TERRACE                     ,ROCKAWAY BOULEVARD              
28,1,28,1,1,0,0,2016,991677.9441,211408.3666,EAST 38 STREET                  ,QUEENS MIDTOWN TUNNEL APPROACH  
29,5,29,1,0,0,1,2016,993250.3855,150725.6258,OCEAN PARKWAY                   ,NEPTUNE AVENUE                  
30,1,30,1,1,0,0,2016,992454.8323,228572.7936,AMSTERDAM AVENUE                ,WEST 96 STREET                  
31,3,31,1,1,0,0,2016,1014932.441,178651.3859,PENNSYLVANIA AVENUE             ,STANLEY AVENUE                  
32,1,32,1,1,0,0,2016,1013742.408,195156.1553,71 AVENUE                       ,CYPRESS HILLS STREET            
33,1,33,1,0,1,0,2016,994975.057,161554.2255,AVENUE P                        ,EAST 12 STREET                  
34,1,34,1,1,0,0,2016,952098.4153,160393.5293,WESTWOOD AVENUE                 ,FINE BOULEVARD                  
35,1,35,1,0,0,1,2016,1033951.69,246868.9669,STADIUM AVENUE                  ,GRISWOLD AVENUE                 
36,1,36,1,1,0,0,2016,1008135.742,187007.048,MAC DOUGAL STREET               ,THOMAS S BOYLAND STREET         
37,5,37,1,1,0,0,2016,1030444.496,217145.8154,NORTHERN BOULEVARD              ,PRINCE STREET                   
38,3,38,1,0,0,1,2016,991166.538,227173.3869,BROADWAY                        ,WEST 89 STREET                  
39,2,39,1,1,0,0,2016,1022650.831,212299.9331,104 STREET                      ,41 AVENUE                       
