"","V1","V2","V3","V4"
"Non-motorists involved",1,0.00304266676922166,0.00277832962735571,0.111736632186708
"School bus",0.245609160812019,0.393230427777041,0.551388191263569,0.421299419085001
"Located at intersection",0.597837297257734,0.533873570461484,0.499942007358743,0.535801500904662
"Single lane road",0.00984971536592731,0.0105261606784876,0.0251649691008332,0.0127089179551413
"Bus driver distracted",0.142903871158903,0.0246636999423828,0.122670679451508,0.190533559845476
"Other driver distracted",0,0.138040800186223,0.131904168386217,0.0552585527906692
"Bus driver impaired or speeding",0,0.00101864215924228,0.00308653198316245,0.000116835483288023
"Other driver impaired or speeding",0.257812206698776,0.138914475173989,0.191462921421762,0.0495781990393655
"Male",0.793079399807302,0.58186544114492,0.577963021874888,0.686072298731258
"Pickup truck, SUV or van involved",0.00210478093884518,0.265615618152141,0.279498721939832,0.229436130962529
"Light / heavy truck involved",0,0.228599252303912,0.157256634408611,0.176043602929891
"Surface conditions adverse",0.371607559861755,0.446517224879668,0.444609404054671,0.447988159796896
"Daylight",0.659592055155458,0.841630102433329,0.889729327821208,0.846394692497344
